name,formatted_address,lat,lon,wheelchair,categories
Stop 129: Melbourne Sports and Aquatic Centre,"Stop 129: Melbourne Sports and Aquatic Centre, Western Bike Path, Middle Park VIC 3206, Australia",-37.8454802,144.9617106,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 127: South Melbourne Market,"Stop 127: South Melbourne Market, Ferrars Street, South Melbourne VIC 3205, Australia",-37.8329028,144.955298,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 127: South Melbourne Market,"Stop 127: South Melbourne Market, Ferrars Street, South Melbourne VIC 3205, Australia",-37.8333453,144.9555415,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 27: Royal Park Station,"Stop 27: Royal Park Station, Capital City Trail, Parkville VIC 3052, Australia",-37.7809601,144.9506014,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 27: Royal Park Station,"Stop 27: Royal Park Station, Capital City Trail, Parkville VIC 3052, Australia",-37.7809029,144.9508855,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 53: Maribyrnong Secondary College,"Stop 53: Maribyrnong Secondary College, River Street, Maribyrnong VIC 3032, Australia",-37.7795514,144.887737,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 53: Maribyrnong Secondary College,"Stop 53: Maribyrnong Secondary College, River Street, Maribyrnong VIC 3032, Australia",-37.7795578,144.8880269,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 22: Flemington Bridge Station,"Stop 22: Flemington Bridge Station, Flemington Road, Parkville VIC 3031, Australia",-37.7882781,144.9408608,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 26: Melbourne Zoo,"Stop 26: Melbourne Zoo, Capital City Trail, Parkville VIC 3052, Australia",-37.782615,144.9491732,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 26: Melbourne Zoo,"Stop 26: Melbourne Zoo, Capital City Trail, Parkville VIC 3052, Australia",-37.7823947,144.9493083,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 12: Moor Street,"Stop 12: Moor Street, Nicholson Street, Carlton VIC 3053, Australia",-37.8014731,144.9742451,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 12: Moor Street,"Stop 12: Moor Street, Nicholson Street, Fitzroy VIC 3065, Australia",-37.8018825,144.9742621,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 139: Glenferrie Road,"Stop 139: Glenferrie Road, Toorak Road, Toorak VIC 3142, Australia",-37.8435863,145.0298684,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 139: Glenferrie Road,"Stop 139: Glenferrie Road, Toorak Road, Toorak VIC 3142, Australia",-37.8436267,145.030221,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
