lat,lon,name,type
-37.78188915501449,144.95963193312105,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.793726533289785,144.94716743007305,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.80286165064241,144.92778487963457,Sign - Public Transport 1 Panel Bus Stop Type 13,Bus
-37.82561794105207,144.96024538933693,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.82825403073943,144.97139535783998,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.81810589679171,144.9619763819388,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.847587034180215,144.9797183050512,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.82375108048519,144.96722832469055,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.78077459328419,144.95138857277198,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.811942864580594,144.95642939829426,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.82793320904311,144.90887617925307,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.8308611221107,144.98773132067197,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.80945090290274,144.95544640306295,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79564672738665,144.92489593979033,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.82725097105045,144.95787041193037,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.80539623932391,144.9520285962586,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79905748382394,144.93989360176752,Sign - Public Transport 1 Panel Bus Stop Type 5,Bus
-37.7904254305808,144.94352558479113,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79085700678597,144.92008961006658,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.800456485496696,144.96510004696515,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.790034182492505,144.95863808667602,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.841136944254906,144.97738137656336,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.84881806234022,144.9844193992286,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.82961907563178,144.96406241965494,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.802508730068354,144.92456498204757,Sign - Public Transport 1 Panel Bus Stop Type 13,Bus
-37.79262854511814,144.9682820983283,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.80231431723276,144.96676746744464,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.8006162471606,144.9665441831767,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.82069471465366,144.92473362878667,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.8003609261965,144.97442342241808,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79830746372871,144.94633943083986,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.825833042409954,144.9666164228847,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.804633940884784,144.9663703776215,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.83299002899975,144.97293669624193,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.80111524772101,144.96674878780823,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.82403291338346,144.97056844604276,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.79776685417041,144.97031833233382,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.8047924247435,144.969120352164,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.80752888103373,144.91363137005712,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.810346877102674,144.96112338314165,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.799621670449625,144.95568431062944,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.80682386961907,144.96904254818034,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.802167832666704,144.92008136652066,Sign - Public Transport 1 Panel Bus Stop Type 13,Bus
-37.81888176511253,144.95412220092587,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79706577834771,144.9224359882637,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.81667022216065,144.96132496344865,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.817622931042806,144.95934733314024,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79412896547033,144.96811766271057,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79862363935187,144.9467915427181,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.80823830232059,144.94862350162495,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.82087887649734,144.91896726226324,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.79732684307128,144.97009551587823,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.78267580200046,144.91666362113003,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
