name,STOP_ID,type,lat,lon
Carlton Baths/Rathdowne St (Carlton),660,Bus,-37.7938,144.9713
Freight Terminal/Dynon Rd (West Melbourne),6609,Bus,-37.8027,144.9251
Radcliffe St/Dynon Rd (West Melbourne),6612,Bus,-37.8038,144.9324
Dynon Rd/Kensington Rd (West Melbourne),7425,Bus,-37.8005,144.9168
133 Kensington Rd (West Melbourne),7447,Bus,-37.7996,144.9183
Altona St/Kensington Rd (Kensington),7450,Bus,-37.7962,144.9242
Derby St/Kensington Rd (Kensington),7451,Bus,-37.7952,144.926
Kensington Station/Macaulay Rd (Kensington),7452,Bus,-37.7944,144.9295
Macaulay Station/Macaulay Rd (North Melbourne),7454,Bus,-37.7952,144.9363
Melrose St/Canning St (North Melbourne),7456,Bus,-37.7958,144.9413
Abbotsford St/Haines St (North Melbourne),7458,Bus,-37.7986,144.9468
Curzon St/Haines St (North Melbourne),7459,Bus,-37.7989,144.9492
O'Shanassy St/Errol St (North Melbourne),7460,Bus,-37.7999,144.9501
Lygon St/Grattan St (Carlton),7466,Bus,-37.8008,144.9665
Dynon Rd/Kensington Rd (West Melbourne),7570,Bus,-37.8004,144.9167
Mercantile Pde/Kensington Rd (Kensington),7573,Bus,-37.7971,144.9224
Derby St/Kensington Rd (Kensington),7577,Bus,-37.7948,144.9264
Kensington Station/Macaulay Rd (Kensington),7578,Bus,-37.7944,144.93
Dryburgh St/Shiel St (North Melbourne),7582,Bus,-37.7978,144.9441
Curzon St/Haines St (North Melbourne),7584,Bus,-37.7986,144.9485
Cardigan St/Grattan St (Carlton),7589,Bus,-37.8005,144.9651
Alfred Hospital/Punt Rd (South Yarra),918,Bus,-37.8464,144.9848
Albion St/Punt Rd (South Yarra),919,Bus,-37.8434,144.9854
Lang St/Punt Rd (South Yarra),920,Bus,-37.8411,144.9858
Elgin St/Lygon St (Carlton),942,Bus,-37.7973,144.9675
Faraday St/Lygon St (Carlton),943,Bus,-37.799,144.9671
Argyle Square/Lygon St (Carlton),957,Bus,-37.8026,144.9665
Queensberry St/Lygon St (Carlton),959,Bus,-37.8052,144.966
